"date","machine_id","planned_production_time_min","operating_time_min","total_units","defect_units","ideal_cycle_time_min"
"2026-03-23","M-02","480","365","5773","294","0.078"
"2026-03-23","M-03","480","337","5413","346","0.066"
"2026-03-24","M-01","480","398","6031","211","0.088"
"2026-03-24","M-02","480","440","8735","218","0.074"
"2026-03-24","M-03","480","404","5732","212","0.077"
"2026-03-25","M-01","480","308","5010","291","0.078"
"2026-03-25","M-02","480","443","6350","197","0.064"
"2026-03-25","M-03","480","411","6544","236","0.081"
"2026-03-26","M-01","480","451","6131","147","0.075"
"2026-03-26","M-02","480","331","8592","344","0.085"
"2026-03-26","M-03","480","405","7232","289","0.077"
"2026-03-27","M-01","480","405","6875","110","0.068"
"2026-03-27","M-02","480","360","8522","170","0.079"
"2026-03-27","M-03","480","374","5498","66","0.089"
"2026-03-28","M-01","480","367","7409","311","0.066"
"2026-03-28","M-02","480","366","6395","179","0.061"
"2026-03-28","M-03","480","433","8693","122","0.069"
"2026-03-29","M-01","480","427","5786","312","0.085"
"2026-03-29","M-02","480","334","8960","654","0.063"
"2026-03-29","M-03","480","445","8653","190","0.07"
"2026-03-30","M-01","480","372","8331","242","0.086"
"2026-03-30","M-02","480","390","8623","345","0.068"
"2026-03-30","M-03","480","360","8779","351","0.088"
"2026-03-31","M-01","480","308","5679","290","0.072"
"2026-03-31","M-02","480","393","7568","409","0.059"
"2026-03-31","M-03","480","378","6384","38","0.071"
"2026-04-01","M-01","480","395","8926","482","0.06"
"2026-04-01","M-02","480","411","7170","380","0.078"
"2026-04-01","M-03","480","418","6307","227","0.072"
"2026-04-02","M-01","480","425","5486","27","0.064"
"2026-04-02","M-02","480","411","7576","212","0.075"
"2026-04-02","M-03","480","356","6873","323","0.057"
"2026-04-03","M-01","480","308","6446","458","0.074"
"2026-04-03","M-02","480","452","8630","328","0.081"
"2026-04-03","M-03","480","449","7891","189","0.068"
"2026-04-04","M-01","480","388","8229","395","0.057"
"2026-04-04","M-02","480","379","8480","297","0.063"
"2026-04-04","M-03","480","387","6495","279","0.077"
"2026-04-05","M-01","480","380","6470","201","0.056"
"2026-04-05","M-02","480","361","8783","246","0.076"
"2026-04-05","M-03","480","415","4841","203","0.077"
"2026-04-06","M-01","480","404","4880","137","0.062"
"2026-04-06","M-02","480","398","8138","439","0.062"
"2026-04-06","M-03","480","295","6288","258","0.056"
"2026-04-07","M-01","480","364","7932","286","0.061"
"2026-04-07","M-02","480","325","4635","287","0.089"
"2026-04-07","M-03","480","367","4936","197","0.077"
"2026-04-08","M-01","480","366","7679","223","0.058"
"2026-04-08","M-02","480","356","7117","107","0.059"
"2026-04-08","M-03","480","453","6563","39","0.08"
"2026-04-09","M-01","480","436","5909","77","0.057"
"2026-04-09","M-02","480","380","4793","77","0.058"
"2026-04-09","M-03","480","363","6357","44","0.075"
"2026-04-10","M-01","480","434","5884","94","0.074"
"2026-04-10","M-02","480","363","5850","164","0.087"
"2026-04-10","M-03","480","397","8433","422","0.076"
"2026-04-11","M-01","480","356","7789","148","0.085"
"2026-04-11","M-02","480","386","5366","48","0.077"
"2026-04-11","M-03","480","378","8575","197","0.079"
"2026-04-12","M-01","480","364","5928","344","0.087"
"2026-04-12","M-02","480","360","8962","529","0.06"
"2026-04-12","M-03","480","315","5363","499","0.083"
"2026-04-13","M-01","480","351","5190","368","0.086"
"2026-04-13","M-02","480","448","6926","194","0.087"
"2026-04-13","M-03","480","411","8286","108","0.079"
"2026-04-14","M-01","480","406","7590","326","0.064"
"2026-04-14","M-02","480","397","5793","336","0.081"
"2026-04-14","M-03","480","451","4953","292","0.089"
"2026-04-15","M-01","480","439","7635","450","0.07"
"2026-04-15","M-02","480","440","5659","28","0.089"
"2026-04-15","M-03","480","346","7153","622","0.075"
"2026-04-16","M-01","480","415","7654","314","0.057"
"2026-04-16","M-02","480","379","7526","414","0.06"
"2026-04-16","M-03","480","448","8660","468","0.064"
"2026-04-17","M-01","480","391","7473","67","0.063"
"2026-04-17","M-02","480","330","8548","727","0.073"
"2026-04-17","M-03","480","360","7675","414","0.068"
"2026-04-18","M-01","480","381","8522","469","0.081"
"2026-04-18","M-02","480","425","8369","201","0.061"
"2026-04-18","M-03","480","422","7845","133","0.065"
"2026-04-19","M-01","480","415","8324","100","0.062"
"2026-04-19","M-02","480","412","7898","403","0.072"
"2026-04-19","M-03","480","458","7609","411","0.079"
"2026-04-20","M-01","480","372","5324","277","0.069"
"2026-04-20","M-02","480","354","7115","36","0.085"
"2026-04-20","M-03","480","457","8960","81","0.057"
"2026-04-21","M-01","480","439","6919","284","0.08"
"2026-04-21","M-02","480","353","8188","237","0.068"
"2026-04-21","M-03","480","424","5933","190","0.058"
"2026-04-22","M-01","480","456","5608","230","0.085"
"2026-04-22","M-02","480","412","4552","114","0.056"
"2026-04-22","M-03","480","285","8418","682","0.08"
"2026-04-23","M-01","480","365","5381","237","0.088"
"2026-04-23","M-02","480","378","6243","112","0.083"
"2026-04-23","M-03","480","444","6265","138","0.075"
"2026-04-24","M-01","480","397","6428","360","0.084"
"2026-04-24","M-02","480","443","7588","114","0.076"
"2026-04-24","M-03","480","367","7578","220","0.062"
"2026-04-25","M-01","480","451","8349","392","0.067"
"2026-04-25","M-02","480","375","5659","232","0.086"
"2026-04-25","M-03","480","357","8546","436","0.079"
"2026-04-26","M-01","480","379","6711","47","0.083"
"2026-04-26","M-02","480","386","5425","76","0.08"
"2026-04-26","M-03","480","417","6276","251","0.084"
"2026-04-27","M-01","480","404","5054","278","0.087"
"2026-04-27","M-02","480","362","8422","270","0.062"
"2026-04-27","M-03","480","371","6423","379","0.076"
"2026-04-28","M-01","480","415","8261","339","0.086"
"2026-04-28","M-02","480","363","5137","72","0.073"
"2026-04-28","M-03","480","402","4889","156","0.058"
"2026-04-29","M-01","480","410","7664","84","0.081"
"2026-04-29","M-02","480","372","5667","153","0.086"
"2026-04-29","M-03","480","413","4636","97","0.073"
"2026-04-30","M-01","480","373","8887","311","0.056"
"2026-04-30","M-02","480","403","5856","293","0.078"
"2026-04-30","M-03","480","441","7592","288","0.088"
"2026-05-01","M-01","480","438","5152","67","0.082"
"2026-05-01","M-02","480","352","8659","286","0.066"
"2026-05-01","M-03","480","433","8305","166","0.055"
"2026-05-02","M-01","480","425","7600","441","0.078"
"2026-05-02","M-02","480","418","5232","37","0.069"
"2026-05-02","M-03","480","428","5522","271","0.076"
"2026-05-03","M-01","480","411","4561","46","0.055"
"2026-05-03","M-02","480","385","7317","402","0.071"
"2026-05-03","M-03","480","387","6649","133","0.075"
"2026-05-04","M-01","480","279","8108","681","0.056"
"2026-05-04","M-02","480","426","7348","81","0.086"
"2026-05-04","M-03","480","446","7045","155","0.068"
"2026-05-05","M-01","480","459","8444","304","0.063"
"2026-05-05","M-02","480","380","7820","313","0.072"
"2026-05-05","M-03","480","456","8554","334","0.069"
"2026-05-06","M-01","480","352","7842","361","0.073"
"2026-05-06","M-02","480","399","8818","432","0.076"
"2026-05-06","M-03","480","453","5196","130","0.083"
"2026-05-07","M-01","480","390","4755","228","0.067"
"2026-05-07","M-02","480","423","7368","354","0.074"
"2026-05-07","M-03","480","290","7468","597","0.058"
"2026-05-08","M-01","480","344","7395","555","0.06"
"2026-05-08","M-02","480","396","6635","272","0.078"
"2026-05-08","M-03","480","425","8079","372","0.081"
"2026-05-09","M-01","480","447","7539","83","0.076"
"2026-05-09","M-02","480","353","7639","321","0.069"
"2026-05-09","M-03","480","405","5392","113","0.062"
"2026-05-10","M-01","480","406","5365","59","0.086"
"2026-05-10","M-02","480","385","6270","238","0.056"
"2026-05-10","M-03","480","377","8590","69","0.075"
"2026-05-11","M-01","480","432","5872","323","0.085"
"2026-05-11","M-02","480","382","6632","80","0.082"
"2026-05-11","M-03","480","363","5710","103","0.083"
"2026-05-12","M-01","480","361","8713","427","0.078"
"2026-05-12","M-02","480","363","6925","104","0.058"
"2026-05-12","M-03","480","360","4507","86","0.084"
"2026-05-13","M-01","480","351","7803","187","0.055"
"2026-05-13","M-02","480","447","5610","275","0.059"
"2026-05-13","M-03","480","391","5955","167","0.063"
"2026-05-14","M-01","480","413","7683","330","0.076"
"2026-05-14","M-02","480","366","6628","338","0.087"
"2026-05-14","M-03","480","364","7916","150","0.064"
"2026-05-15","M-01","480","439","6799","143","0.084"
"2026-05-15","M-02","480","306","7484","382","0.088"
"2026-05-15","M-03","480","444","7356","397","0.055"
"2026-05-16","M-01","480","392","7692","385","0.061"
"2026-05-16","M-02","480","372","4761","38","0.089"
"2026-05-16","M-03","480","437","6818","320","0.085"
"2026-05-17","M-01","480","409","7527","309","0.065"
"2026-05-17","M-02","480","380","5214","302","0.089"
"2026-05-17","M-03","480","398","5925","166","0.085"
"2026-05-18","M-01","480","313","5511","265","0.069"
"2026-05-18","M-02","480","411","7664","276","0.079"
"2026-05-18","M-03","480","423","8969","260","0.084"
"2026-05-19","M-01","480","390","6694","395","0.086"
"2026-05-19","M-02","480","448","7796","218","0.08"
"2026-05-19","M-03","480","414","8647","216","0.065"
"2026-05-20","M-01","480","396","4863","277","0.075"
"2026-05-20","M-02","480","414","8024","88","0.074"
"2026-05-20","M-03","480","393","6515","293","0.08"
"2026-05-21","M-01","480","429","7454","37","0.083"
"2026-05-21","M-02","480","281","6966","432","0.071"
"2026-05-21","M-03","480","438","7889","402","0.062"
"2026-05-22","M-01","480","392","8928","125","0.061"
"2026-05-22","M-02","480","354","8496","289","0.062"
"2026-05-22","M-03","480","427","7842","235","0.067"
"2026-05-23","M-01","480","411","5940","65","0.064"
"2026-05-23","M-02","480","375","8220","411","0.076"
"2026-05-23","M-03","480","420","8518","43","0.055"
"2026-05-24","M-01","480","369","8594","206","0.074"
"2026-05-24","M-02","480","354","5715","234","0.075"
"2026-05-24","M-03","480","414","6848","260","0.07"
"2026-05-25","M-01","480","416","5522","215","0.071"
"2026-05-25","M-02","480","385","8005","400","0.061"
"2026-05-25","M-03","480","435","7199","324","0.06"
"2026-05-26","M-01","480","298","5429","461","0.065"
"2026-05-26","M-02","480","451","7827","86","0.062"
"2026-05-26","M-03","480","398","4622","236","0.065"
"2026-05-27","M-01","480","420","8591","326","0.077"
"2026-05-27","M-02","480","371","5014","105","0.066"
"2026-05-27","M-03","480","358","6937","277","0.059"
"2026-05-28","M-01","480","406","8795","264","0.075"
"2026-05-28","M-02","480","364","6073","298","0.085"
"2026-05-28","M-03","480","393","5183","150","0.087"
"2026-05-29","M-01","480","437","8026","393","0.086"
"2026-05-29","M-02","480","390","6716","148","0.061"
"2026-05-29","M-03","480","452","8187","393","0.057"
